id                          ⎸language_text
lang_name                   ⎸Français

AppTitle                    ⎸FriishProduce

Console.Items               ⎸Nintendo - NES
Console.Items1              ⎸Super Nintendo
Console.Items2              ⎸Nintendo 64
Console.Items3              ⎸Adobe Flash

Message_DeleteWAD           ⎸Voulez-vous supprimer cette chaîne ?
Message_Restart             ⎸Quelques modifications que vous avez effectués nécessitent un redémarrage du logiciel avant de prendre effet.
Message_ExportFinished      ⎸Injection effectué.
Message_ExportError         ⎸Une erreur a été rencontré pendant l'injection.\nMessage : {0}
Error_ROMSize               ⎸La ROM que vous avez précisé est trop grande. Veuillez specifier une autre chaîne.
Error_PatchFailed           ⎸Échec de l'application du patch. Vous pouvez réessayer avec une version patchée manuellement sans activer l'auto-patch de ce logiciel.\nLa ROM non patchée sera utilisée.
Error_FlipsMissing          ⎸L'application Floating IPS n'a pas pu être trouvée dans votre dossier d'applications.\nLa ROM non patchée sera utilisée.
Error_BannerBrlyt           ⎸Échec de modification du fichier banner.brlyt. Réessayer avec une configuration propre de HowardCTools.
Error_InvalidBanner         ⎸Le banner que vous avez précisé n'est pas valide. Veuillez choisir un banner au format « Console virtuelle », puis réessayer.
Error_EmulatorCompression   ⎸Échec de (dé)compression de l'émulateur intégré.
Error_FailedROMSearch       ⎸Échec de recherche d'une ROM injectable.

ForwarderMode               ⎸Mode forwarder
Settings                    ⎸Paramètres
Error                       ⎸Erreur
Halt                        ⎸Arrêt
OK.Text                     ⎸&OK
Cancel.Text                 ⎸&Annuler
Forwarders.Text             ⎸&Forwarders
Application.Text            ⎸Logiciel
Settings_Language.Text      ⎸Langue :
SystemDefault               ⎸Système
Settings_Theme.Text         ⎸Theme :
Theme.Items                 ⎸Sombre
Theme.Items1                ⎸Blanc

Back.Text                   ⎸< &Précédent
Next.Text                   ⎸&Suivant >
Save.Text                   ⎸&Sauvegarder
OpenROM.Text                ⎸Parcourir une ROM ...
OpenSWF.Text                ⎸Parcourir un *.swf ...

BrowseImage.Filter          ⎸Tous les formats sont pris en charge (*.bmp, *.jpg, *.jpeg, *.png)|*.bmp;*.jpg;*.jpeg;*.png|  Bitmap Windows (*.bmp)|*.bmp|  JPEG (*.jpg, *.jpeg)|*.jpg;*.jpeg|  PNG (*.png)|*.png
BrowsePatch.Filter          ⎸Fichiers patch (*.bps, *.ips)|*.bps;*.ips
BrowseWAD.Filter            ⎸Chaînes Wii (*.wad)|*.wad
